period_month,Total,Within,After,compliance_pct
2023-10,16389.0,9562.0,6827.0,58.3
2023-11,17333.0,10394.0,6939.0,60.0
2023-12,14598.0,8796.0,5802.0,60.3
2024-01,17000.0,9595.0,7405.0,56.4
2024-02,15878.0,9310.0,6568.0,58.6
2024-03,16062.0,10339.0,5723.0,64.4
2024-04,16514.0,10191.0,6323.0,61.7
2024-05,16876.0,10182.0,6694.0,60.3
2024-06,16018.0,9971.0,6047.0,62.2
2024-07,17962.0,11277.0,6685.0,62.8
2024-08,16184.0,10440.0,5744.0,64.5
2024-09,15756.0,9794.0,5962.0,62.2
2024-10,17298.0,10945.0,6353.0,63.3
2024-11,16024.0,10398.0,5626.0,64.9
2024-12,15236.0,10201.0,5035.0,67.0
2025-01,16747.0,10372.0,6375.0,61.9
2025-02,15278.0,9430.0,5848.0,61.7
2025-03,15943.5,10619.5,5324.0,66.6
