metric,period_month,period_date,org_code,org_name,total_patients,within_62d,breached_62d,compliance_rate
62d_combined,2024-02,2024-02-01,AQK,VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY,0.5,0.0,0.5,0.0
62d_combined,2025-08,2025-08-01,AQK,VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY,0.5,0.5,0.0,1.0
62d_combined,2025-08,2025-08-01,DJQ,SURREY HEALTHY CHILDREN AND FAMILIES LLP,0.5,0.5,0.0,1.0
62d_combined,2023-10,2023-10-01,GEC,RAPID INVESTIGATION SERVICE,0.5,0.5,0.0,1.0
62d_combined,2023-11,2023-11-01,GEC,RAPID INVESTIGATION SERVICE,2.5,1.5,1.0,0.6
62d_combined,2023-12,2023-12-01,GEC,RAPID INVESTIGATION SERVICE,3.0,0.0,3.0,0.0
62d_combined,2024-01,2024-01-01,GEC,RAPID INVESTIGATION SERVICE,1.5,1.0,0.5,0.6666666666666666
62d_combined,2024-02,2024-02-01,GEC,RAPID INVESTIGATION SERVICE,1.0,0.0,1.0,0.0
62d_combined,2024-03,2024-03-01,GEC,RAPID INVESTIGATION SERVICE,3.5,1.0,2.5,0.2857142857142857
62d_combined,2024-04,2024-04-01,GEC,RAPID INVESTIGATION SERVICE,1.5,0.0,1.5,0.0
62d_combined,2024-05,2024-05-01,GEC,RAPID INVESTIGATION SERVICE,2.0,1.0,1.0,0.5
62d_combined,2024-06,2024-06-01,GEC,RAPID INVESTIGATION SERVICE,0.5,0.5,0.0,1.0
62d_combined,2024-07,2024-07-01,GEC,RAPID INVESTIGATION SERVICE,1.5,0.5,1.0,0.3333333333333333
62d_combined,2024-08,2024-08-01,GEC,RAPID INVESTIGATION SERVICE,2.5,0.5,2.0,0.2
62d_combined,2024-10,2024-10-01,GEC,RAPID INVESTIGATION SERVICE,1.0,0.0,1.0,0.0
62d_combined,2024-11,2024-11-01,GEC,RAPID INVESTIGATION SERVICE,3.0,1.5,1.5,0.5
62d_combined,2024-12,2024-12-01,GEC,RAPID INVESTIGATION SERVICE,3.5,1.5,2.0,0.42857142857142855
62d_combined,2025-01,2025-01-01,GEC,RAPID INVESTIGATION SERVICE,3.5,1.5,2.0,0.42857142857142855
62d_combined,2025-02,2025-02-01,GEC,RAPID INVESTIGATION SERVICE,1.0,0.5,0.5,0.5
62d_combined,2025-03,2025-03-01,GEC,RAPID INVESTIGATION SERVICE,1.5,0.0,1.5,0.0
62d_combined,2025-04,2025-04-01,GEC,RAPID INVESTIGATION SERVICE,1.0,1.0,0.0,1.0
62d_combined,2025-05,2025-05-01,GEC,RAPID INVESTIGATION SERVICE,4.0,1.5,2.5,0.375
62d_combined,2025-06,2025-06-01,GEC,RAPID INVESTIGATION SERVICE,2.0,1.0,1.0,0.5
62d_combined,2025-07,2025-07-01,GEC,RAPID INVESTIGATION SERVICE,2.5,1.5,1.0,0.6
62d_combined,2025-08,2025-08-01,GEC,RAPID INVESTIGATION SERVICE,2.5,1.0,1.5,0.4
62d_combined,2025-09,2025-09-01,GEC,RAPID INVESTIGATION SERVICE,5.5,1.5,4.0,0.2727272727272727
62d_combined,2023-10,2023-10-01,NDA,HCRG CARE SERVICES LTD,6.5,6.0,0.5,0.9230769230769231
62d_combined,2023-11,2023-11-01,NDA,HCRG CARE SERVICES LTD,12.5,7.0,5.5,0.56
62d_combined,2023-12,2023-12-01,NDA,HCRG CARE SERVICES LTD,7.0,6.0,1.0,0.8571428571428571
62d_combined,2024-01,2024-01-01,NDA,HCRG CARE SERVICES LTD,3.0,3.0,0.0,1.0
62d_combined,2024-02,2024-02-01,NDA,HCRG CARE SERVICES LTD,1.5,1.5,0.0,1.0
62d_combined,2024-03,2024-03-01,NDA,HCRG CARE SERVICES LTD,4.5,4.5,0.0,1.0
62d_combined,2024-04,2024-04-01,NDA,HCRG CARE SERVICES LTD,1.5,1.5,0.0,1.0
62d_combined,2024-05,2024-05-01,NDA,HCRG CARE SERVICES LTD,6.0,5.5,0.5,0.9166666666666666
62d_combined,2024-06,2024-06-01,NDA,HCRG CARE SERVICES LTD,4.5,4.5,0.0,1.0
62d_combined,2024-07,2024-07-01,NDA,HCRG CARE SERVICES LTD,7.0,6.5,0.5,0.9285714285714286
62d_combined,2024-08,2024-08-01,NDA,HCRG CARE SERVICES LTD,5.0,2.5,2.5,0.5
62d_combined,2024-09,2024-09-01,NDA,HCRG CARE SERVICES LTD,3.5,2.0,1.5,0.5714285714285714
62d_combined,2024-10,2024-10-01,NDA,HCRG CARE SERVICES LTD,7.0,6.5,0.5,0.9285714285714286
