rank,Org_Code,Org_Name,total_patients,total_within,total_breached,compliance_pct
1,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,5304.5,2072.5,3232.0,39.1
2,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,5423.0,2171.0,3252.0,40.0
3,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1210.5,489.5,721.0,40.4
4,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3548.0,1491.5,2056.5,42.0
5,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,2405.5,1035.0,1370.5,43.0
6,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2543.5,1097.5,1446.0,43.1
7,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,3344.5,1526.5,1818.0,45.6
8,RAP,North Middlesex University Hospital NHS Trust,774.0,355.0,419.0,45.9
9,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,3376.0,1552.0,1824.0,46.0
10,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2548.0,1219.5,1328.5,47.9
11,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3467.0,1729.5,1737.5,49.9
12,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,3959.5,2034.0,1925.5,51.4
13,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4695.0,2422.0,2273.0,51.6
14,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2748.5,1445.0,1303.5,52.6
15,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,4035.5,2150.0,1885.5,53.3
16,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,690.5,371.0,319.5,53.7
17,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1353.5,728.5,625.0,53.8
18,R1F,ISLE OF WIGHT NHS TRUST,853.5,462.0,391.5,54.1
19,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,2582.0,1398.5,1183.5,54.2
20,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,1463.5,795.0,668.5,54.3
21,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,2351.0,1281.0,1070.0,54.5
22,RVJ,NORTH BRISTOL NHS TRUST,3700.5,2030.5,1670.0,54.9
23,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,2918.5,1606.0,1312.5,55.0
24,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,6334.5,3527.5,2807.0,55.7
25,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,4365.0,2449.5,1915.5,56.1
26,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,3936.5,2214.5,1722.0,56.3
27,RKE,WHITTINGTON HEALTH NHS TRUST,584.0,330.5,253.5,56.6
28,R1H,BARTS HEALTH NHS TRUST,2259.0,1282.0,977.0,56.8
29,RM3,NORTHERN CARE ALLIANCE NHS FT,3460.5,1971.0,1489.5,57.0
30,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1434.5,821.0,613.5,57.2
31,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1573.5,900.5,673.0,57.2
32,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,1627.5,931.0,696.5,57.2
33,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,3197.0,1836.0,1361.0,57.4
34,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1626.0,938.0,688.0,57.7
35,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,2004.5,1159.5,845.0,57.8
36,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,4530.5,2621.5,1909.0,57.9
37,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,4077.5,2371.0,1706.5,58.1
